comment,clean_comment,sentiment,score
Musica linda ❤❤,musica linda ,Neutral,0
🎉🎉🎉🎉🎉❤,,Neutral,0
❤❤❤❤❤,,Neutral,0
Oi,oi,Neutral,0
❤❤❤,,Neutral,0
I happy that you have been given,i happy that you have been given,Neutral,0
Jessie j continua com câncer alguém sabe,jessie j continua com cncer algum sabe,Neutral,0
Mulher bonita hein,mulher bonita hein,Neutral,0
"<a href=""https://www.youtube.com/watch?v=DzwkcbTQ7ZE&amp;t=144"">2:24</a>",,Neutral,0
"Me,❤❤❤❤❤",me,Neutral,0
Anyone here in April 🎉❤,anyone here in april ,Neutral,0
2026❤,,Neutral,0
"<a href=""https://www.youtube.com/watch?v=DzwkcbTQ7ZE&amp;t=68"">1:08</a>      2026 😊",       ,Neutral,0
2026 gather here ❤, gather here ,Neutral,0
Estou tão apaixonada por esta música que se tornou-se um  vício ❤❤❤❤,estou to apaixonada por esta msica que se tornouse um  vcio ,Neutral,0
Subscriber 10 million and like 5 million. it proves quality content,subscriber  million and like  million it proves quality content,Neutral,0
apa disini cuma aku saja di 2026,apa disini cuma aku saja di ,Neutral,0
eu tava louca pra ouvir essa ❤,eu tava louca pra ouvir essa ,Neutral,0
Jessie you are a rocking angel ;-)❤,jessie you are a rocking angel ,Neutral,0
2026 April❤, april,Neutral,0
"<a href=""https://www.youtube.com/watch?v=DzwkcbTQ7ZE&amp;t=131"">2:11</a> you my flashlight 😢❤", you my flashlight ,Neutral,0
Lanterna,lanterna,Neutral,0
ร,,Neutral,0
Nandito Ako dahil sa tnt boys,nandito ako dahil sa tnt boys,Neutral,0
2026 and still hear this song, and still hear this song,Neutral,0
Nice,nice,Neutral,0
Ang galing naman,ang galing naman,Neutral,0
Forever my favsong,forever my favsong,Neutral,0
ไทยค่ะ,,Neutral,0
โอ๋❤สุปราณี❤,,Neutral,0
Dobra nie wezme,dobra nie wezme,Neutral,0
Morello💜,morello,Neutral,0
Smile❤,smile,Neutral,0
rhk,rhk,Neutral,0
Say and fun,say and fun,Neutral,0
Nice,nice,Neutral,0
Jessie J 真的很棒，每次聽都是如此令人感動。,jessie j ,Neutral,0
Me lembrei assistia o kdrama oh my boss no Kwai com esse solinho da música,me lembrei assistia o kdrama oh my boss no kwai com esse solinho da msica,Neutral,0
i love so much this music !!,i love so much this music ,Neutral,0
keingat anak kecil yang nyanyi sambil pake isyarat biar adeknya tahu,keingat anak kecil yang nyanyi sambil pake isyarat biar adeknya tahu,Neutral,0
